It is the V 3.2 supplement for the 3DSpace Star Database.
1|92128|173637||||||903017.7982392|427297.18919788|-44452.75452158|-15.84|B1IV|0.236
2|84346|||||||758158.70240721|476157.09338508|445499.61907621|-15.73|M3.5e|1.289
3|111233|213573||||||133357.67356779|804642.75977246|-578588.85412155|-17.25|K5|1.528
4|76059|||||||811666.2757286|-90537.44355162|577061.95026019|-12.87||0.604
5|44693|||||||-603757.99014498|-590229.17194721|535822.74325326|-13.86|K0|1.049
6|33312|266432||||||-881932.38986408|-466756.01839798|65834.28580901|-15.24|F0|-0.05
7|114938|219568||||||248392.87640986|321047.15741151|-913909.45992587|-16.57|K0/K1III|1.188
8|54672|97247||||||-55538.93382648|-682537.01874922|728737.41989593|-16.05|K2|1.263
9|59273|||||||188411.60350023|-618593.79233763|762785.82289296|-18.35|G0|0.615
10|20312|27549||||||-826196.4926698|-181709.93671151|-533273.69088637|-17.39|K2|1.612
11|85248|||||||823587.2497746|432019.13555181|367509.92936565|-15.39|K2|1.482
12|69820|||||||440013.63232867|-17213.1782682|897826.34032812|-14.82|F5|0.574
13|23646|32774||||||-694609.31001865|-508288.49086702|-509078.47856944|-15.77|K1/K2III|1.265
14|59995|||||||-15277.2907347|-231241.64610111|972776.78301868|-14.57||0.21
15|51162|||||||-495200.35545034|-177235.3717339|850508.88561477|-14.63||0.857
16|77434|||||||881893.92611282|-153739.9533132|445675.48051064|-14.83||1.064
17|20992|||||||-752148.83617732|-324647.61821863|-573477.29186271|-15.24|M2|1.704
18|79033|144318||||||861683.15284397|-506945.94668166|-22523.50197783|-16.35|B9IV|0.136
19|79189|144945||||||933854.44831513|-274070.15960095|229784.25970626|-16.25|K4/K5III|1.63
20|51142|302924||||||268684.81416209|-962739.61220021|-30655.52828177|-15.48|G0|0.836
21|78880|144377||||||886914.07903778|-28366.53575317|461062.29234033|-16.97|K5III|1.787
22|71646|128784||||||686413.09109631|-242884.00398338|685451.67242041|-16.48|K2|1.42
23|71544|128529||||||740025.2958737|-384248.44962941|552009.86402832|-17.46|K5III|1.608
24|50746|||||||-539719.178995|-65047.80778844|839329.04050683|-14.96|G5|1.044
25|108863|||||||290939.8669937|765206.97845381|-574292.48378765|-14.69|K0|1.128
26|79261|144855||||||863089.39800591|-504186.99542039|-29521.80877636|-17.06|M1II|1.943
27|51398|||||||-400764.78256622|-409465.26812149|819589.19743672|-14.8|F8|0.571
28|71953|129123||||||741549.62499456|-668575.02247882|55772.67366138|-16.16|B3IV|0.14
29|53917|||||||-8504.96348739|-791371.45246784|611275.77692755|-13.12||0.62
30|51428|||||||-280371.43471736|-630355.12869608|723909.01137263|-14.06|M0|1.555
31|53944|||||||-199561.26800168|-533113.17029274|822171.42423265|-15.21|M5|1.387
32|78386|143231||||||917200.98609026|-205027.91241291|341621.63179207|-16.29|F5V|0.503
33|71840|129337||||||519802.45364718|37287.03867482|853472.57852801|-17.27|G5|0.956
34|90119|168941||||||988811.09900065|100806.48892113|-109958.08532254|-15.65|B0III/IV|0.065
35|89388|||||||825560.4856539|534854.88642122|179944.76983006|-14.27|G0|0.72
36|79674|145846||||||876886.09252131|-480298.44449948|-19585.07478506|-16.21|B1V:e|0.376
37|90529|||||||928559.03866852|370978.10633316|12386.05668445|-14.57|B2:V:|0.738
38|49331|||||||-597001.41470693|402803.52587257|693786.41702907|-14.9|K0|1.237
39|90518|||||||976949.81674603|197464.65189539|-81097.99975476|-14.24|
40|49460|87387||||||-603892.16556939|82050.53566828|792832.40449271|-15.99|K0|1.187
41|49211|||||||-268278.85184096|-792939.93318888|547057.7661453|-15.13|M0|1.354
42|49155|297731||||||117369.7407549|-989615.24501202|82974.55556502|-13.99|F2|0.13
43|48920|||||||-592087.68893491|-146289.62064024|792485.1034156|-15.23||1.053
44|82050|151427||||||350083.86255898|676393.7510518|648022.55399375|-16.54|K5|1.595
45|49154|||||||-572281.97254565|532857.64746856|623343.20293284|-15.09|F8+...|0.465
46|81636|149922||||||884330.24672041|-458532.84837365|-87790.54224492|-17.11|B2III|-0.034
47|81243|||||||531375.54383079|545170.59356874|648405.32658551|-16.36|M0|1.653
48|81275|149210||||||888080.61664538|-454743.57490819|-67235.4508745|-16.57|K2III|1.304
49|50697|||||||17109.72526914|-947546.95794647|319156.38625587|-14.65|M7IIIe|1.5
50|90317|||||||689762.19627522|688274.73149662|224735.22101208|-15.65|K5|1.642
51|81362|149881||||||688705.93269|419908.37541867|591067.96610842|-17.96|B0.5III|-0.174
52|81551|150392||||||401432.20159665|635310.92207832|659721.67421874|-16.84|K2|1.61
53|49778|||||||-381937.72265745|-601682.58920048|701499.66360316|-13.07|
54|89311|||||||-67315.2227679|877356.3498724|475094.12889027|-15.57|B8|-0.128
55|81501|150104||||||815807.77038734|278950.52524443|506600.76058015|-16.37|K5|1.602
56|51482|||||||-540191.24243349|557877.51186954|630052.99119677|-14.24|F5|0.465
57|53317|||||||-374204.64346484|-244397.18383243|894562.41980481|-14.75|G5|0.859
58|75007|136105||||||845997.52150124|-316579.33963568|429027.93935848|-16.88|K3III|1.497
59|73844|133686||||||556391.37574681|134969.84527526|819885.46505233|-17.25|K5|1.507
60|108368|||||||-28560.63850307|984524.38551613|-172901.12017252|-15.7|B8|-0.024
61|89493|341794||||||595894.5978453|740235.40700808|311385.76899816|-15.24|A7|0.401
62|75456|137227||||||733676.1039778|8244.82816226|679449.28233179|-16.56|M...|1.464
63|75577|137569||||||572257.3224429|229653.14212612|787261.98210599|-17.07|B5III:|-0.047
